DISTRICT,YEAR,MILLETS,SOIL,PH,TEMPERATURE,HUMIDITY,RAINFALL,Area(Hectare),Production(Tonnes),Yield(Tonnes/Hectare)
AGAR MALWA,2013,Bajra,black,6.95,45.85,57.56,1182,5,4,0.8
AGAR MALWA,2014,Bajra,black,6.95,46.8,54.56,753.5,2000,3000,1.5
AGAR MALWA,2018,Bajra,black,6.95,45.76,48.94,820,12,13,1.08
AGAR MALWA,2019,Bajra,black,6.95,46.37,56.06,1929.2,1,1,1
AGAR MALWA,2013,Barley,black,6.95,45.85,57.56,1182,286,466,1.63
AGAR MALWA,2014,Barley,black,6.95,46.8,54.56,753.5,1000,1000,1
AGAR MALWA,2018,Barley,black,6.95,45.76,48.94,820,48,45,0.94
AGAR MALWA,2019,Barley,black,6.95,46.37,56.06,1929.2,34,80,2.35
AGAR MALWA,2013,Jowar,black,6.95,45.85,57.56,1182,2750,3347,1.22
AGAR MALWA,2014,Jowar,black,6.95,46.8,54.56,753.5,6000,0,0
AGAR MALWA,2015,Jowar,black,6.95,45.79,54.44,1578.4,5000,6000,1.2
AGAR MALWA,2016,Jowar,black,6.95,47.18,52,1360.3,4000,7000,1.75
AGAR MALWA,2017,Jowar,black,6.95,45.93,48.62,815.5,800,1490,1.86
AGAR MALWA,2018,Jowar,black,6.95,45.76,48.94,820,286,336,1.17
AGAR MALWA,2019,Jowar,black,6.95,46.37,56.06,1929.2,142,139,0.98
AGAR MALWA,2013,Maize,black,6.95,45.85,57.56,1182,15270,16578,1.09
AGAR MALWA,2014,Maize,black,6.95,46.8,54.56,753.5,25000,50000,2
AGAR MALWA,2015,Maize,black,6.95,45.79,54.44,1578.4,24000,31000,1.29
AGAR MALWA,2016,Maize,black,6.95,47.18,52,1360.3,20000,39000,1.95
AGAR MALWA,2017,Maize,black,6.95,45.93,48.62,815.5,18300,65880,3.6
AGAR MALWA,2018,Maize,black,6.95,45.76,48.94,820,3370,3035,0.9
AGAR MALWA,2019,Maize,black,6.95,46.37,56.06,1929.2,2756,2361,0.86
ALIRAJPUR,2008,Bajra,black,6.87,44.4,49.25,400.4,16862,11650,0.69
ALIRAJPUR,2009,Bajra,black,6.87,45.62,52.56,442.2,16308,9956,0.61
ALIRAJPUR,2010,Bajra,black,6.87,46.47,56.56,622.2,16271,11789,0.72
ALIRAJPUR,2011,Bajra,black,6.87,44.22,51.62,631.6,15630,11110,0.71
ALIRAJPUR,2012,Bajra,black,6.87,43.01,50.31,928.8,15577,19716,1.27
ALIRAJPUR,2013,Bajra,black,6.87,44.64,57.62,1407.7,13619,18378,1.35
ALIRAJPUR,2014,Bajra,black,6.87,45.42,52.62,949.5,11000,9000,0.82
ALIRAJPUR,2015,Bajra,black,6.87,44.68,52.31,875.6,14000,16000,1.14
ALIRAJPUR,2016,Bajra,black,6.87,47.2,51,1093.9,17000,18000,1.06
